City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,tadine,-21.55,167.8833,294.69,74,100,2.81,NC,2024-12-31
237,brokopondo,4.75,-55.1667,300.73,70,88,1.48,SR,2024-12-31
238,st. john's,47.5649,-52.7093,274.8,95,86,1.34,CA,2024-12-31
239,russi,44.3725,12.0322,284.23,64,0,1.03,IT,2024-12-31
240,wewak,-3.5534,143.6268,299.36,87,100,2.08,PG,2024-12-31
241,port saint john's,-31.6229,29.5448,297.02,88,100,5.81,ZA,2024-12-31
242,kittila,67.6647,24.8936,270.23,68,100,3.6,FI,2024-12-31
243,homer,59.6425,-151.5483,279.09,56,100,6.17,US,2024-12-31
244,nadi,-17.8,177.4167,297.15,83,20,2.57,FJ,2024-12-31
245,huarmey,-10.0681,-78.1522,295.65,76,25,3.15,PE,2024-12-31
246,el bauga,18.262,33.9081,297.1,19,5,7.0,SD,2024-12-31
247,sitka,57.0531,-135.33,277.09,41,0,4.63,US,2024-12-31
248,remire-montjoly,4.9167,-52.2667,298.17,100,100,2.06,GF,2024-12-31
249,lazaro cardenas,17.9583,-102.2,297.03,49,76,1.43,MX,2024-12-31
250,sungurlu,40.1675,34.3739,276.46,65,3,1.33,TR,2024-12-31
251,ketchikan,55.3422,-131.6461,275.92,93,100,1.79,US,2024-12-31
252,gifford,27.6753,-80.4092,296.17,94,75,4.12,US,2024-12-31
253,princeville,45.7668,-61.2985,280.8,98,100,4.63,CA,2024-12-31
254,malango,-2.9627,119.9001,293.17,97,100,0.84,ID,2024-12-31
255,nikolayevsk-on-amure,53.1406,140.73,243.92,99,78,1.37,RU,2024-12-31
256,kill devil hills,36.0307,-75.676,287.03,84,0,3.09,US,2024-12-31
257,gannan,47.9147,123.5031,251.22,99,43,2.18,CN,2024-12-31
258,utrik,11.2278,169.8474,300.18,77,2,6.86,MH,2024-12-31
259,aasiaat,68.7098,-52.8699,251.11,81,1,2.59,GL,2024-12-31
260,kavaratti,10.5669,72.642,301.36,71,97,1.55,IN,2024-12-31
261,antofagasta,-23.65,-70.4,293.75,69,33,4.23,CL,2024-12-31
262,tazacorte,28.629,-17.9293,293.69,65,20,4.47,ES,2024-12-31
263,axim,4.8699,-2.2405,302.97,67,36,5.37,GH,2024-12-31
264,flying fish cove,-10.4217,105.6791,298.97,94,75,2.57,CX,2024-12-31
265,port macquarie,-31.4333,152.9167,292.08,96,22,2.15,AU,2024-12-31
266,tromso,69.6496,18.957,272.16,69,75,8.23,NO,2024-12-31
267,el ejido,36.7763,-2.8146,287.28,60,76,5.9,ES,2024-12-31
268,baker city,44.7749,-117.8344,267.99,80,0,0.0,US,2024-12-31
269,bayanhongor,46.7167,100.1167,249.59,89,63,1.68,MN,2024-12-31
270,ta`u,-14.2336,-169.5144,301.32,73,86,1.92,AS,2024-12-31
271,veracruz,19.3333,-96.6667,295.88,48,56,0.55,MX,2024-12-31
272,yambio,4.5721,28.3955,307.3,18,36,2.09,SS,2024-12-31
273,sinabang,2.4803,96.3801,299.8,80,100,1.25,ID,2024-12-31
274,philadelphia,39.9523,-75.1638,282.38,66,25,2.3,US,2024-12-31
275,hamilton,39.1834,-84.5333,283.5,92,68,2.24,US,2024-12-31
276,inhambane,-23.865,35.3833,304.14,74,40,6.17,MZ,2024-12-31
277,talnakh,69.4865,88.3972,257.74,93,100,7.37,RU,2024-12-31
278,santa vitoria do palmar,-33.5189,-53.3681,299.18,55,10,4.79,BR,2024-12-31
279,kurchatov,51.6601,35.6521,275.99,88,100,7.16,RU,2024-12-31
280,acapulco de juarez,16.8634,-99.8901,296.05,83,75,2.57,MX,2024-12-31
281,hasaki,35.7333,140.8333,281.03,40,4,11.07,JP,2024-12-31
282,kodiak,57.79,-152.4072,277.88,87,100,15.95,US,2024-12-31
283,ebaye,8.7748,167.7392,300.16,83,75,5.66,MH,2024-12-31
284,galveston,29.3669,-94.9669,291.51,65,0,2.24,US,2024-12-31
285,'ain deheb,34.8422,1.547,278.37,80,100,4.1,DZ,2024-12-31
286,zalingei,12.9096,23.4741,303.77,8,1,1.95,SD,2024-12-31
287,port blair,11.6667,92.75,300.17,78,75,4.63,IN,2024-12-31
288,port lincoln,-34.7333,135.8667,289.59,83,2,5.31,AU,2024-12-31
289,bairnsdale,-37.8333,147.6167,288.18,92,8,1.62,AU,2024-12-31
290,nizhniy kuranakh,58.8353,125.4869,248.23,100,100,0.75,RU,2024-12-31
291,viqueque,-8.8673,126.3658,298.27,87,100,1.5,TL,2024-12-31
292,kazlu ruda,54.7667,23.5,275.93,85,100,5.39,LT,2024-12-31
293,portland,45.5234,-122.6762,276.25,96,73,3.13,US,2024-12-31
294,kidal,18.4411,1.4078,302.51,10,0,3.78,ML,2024-12-31
